JNJ
JPM
XOM
BRK.B
PG
BAC
T
PFE
CVX
VZ
CSCO
UNH
MRK
INTC
KO
WFC
PEP
C
WMT
ABT
BRK.A
MDT
HON
ORCL
DIS
IBM
AMGN
UTX
NEE
LLY
QCOM
GE
MO
GILD
CAT
MDLZ
AXP
USB
ANTM
GS
CVS
CME
COP
DUK
D
PM
CI
CSX
SO
CB
DD
PNC
MS
SLB
AGN
NOC
ABBV
NSC
DE
BLK
MMM
APD
GM
WM
RTN
PGR
EXC
AIG
DHR
KMB
GD
TGT
AEP
COF
WBA
PSX
EMR
PRU
AFL
KMI
F
FDX
BK
SRE
BBT
TRV
MPC
HCA
DOW
HUM
VLO
MET
ETN
SYY
WMB
ALL
DAL
JCI
EBAY
TEL
NEM
GIS
HPQ
XEL
IR
PEG
ED
EQR
STI
VFC
PPG
CMI
WEC
GLW
MCK
LYB
VTR
DFS
PCAR
WLTW
ES
ZBH
TSN
DTE
BLL
ADM
LVS
FE
SYF
BIIB
PPL
CTVA
ITW
MTB
EIX
SWK
PH
AWK
APTV
FITB
HIG
HPE
BAX
STT
UAL
WY
ETR
LLL
AMP
KHC
HAL
OXY
NTRS
AEE
CCL
RSG
CTSH
OMC
KEY
KR
HES
IP
LH
NUE
CBS
WELL
CMS
CDW
CFG
PFG
CINF
FCX
BBY
HCP
NTAP
EVRG
RF
LBRDK
MRVL
DRI
DXC
FDC
DOV
HBAN
KMX
GPC
CNP
ACGL
L
CAH
WPC
MSI
DGX
K
XRAY
CE
HST
ABC
NLY
WDC
KKR
AAL
LNC
FOXA
CAG
HOLX
SYMC
BHGE
GWW
HAS
SJM
LUV
ELAN
TXT
ALLY
PCG
STX
LNT
MRO
NCLH
CTL
JEC
DRE
DVN
CMA
NDAQ
AES
NI
GRMN
PNW
VIAB
FNF
AAP
HSIC
UHS
RCL
RE
TAP
MYL
AVY
RGA
CLX
DISCK
EMN
BEN
WRK
Y
ARNC
TPR
SNA
JNPR
WRB
AGNC
WHR
ARMK
HII
TMK
VER
IPG
VST
BWA
MOS
LEA
NOV
WU
MHK
OGE
DISH
ZION
IVZ
CCK
KDP
NLSN
VOYA
QRVO
DELL
ALK
PHM
CPB
KSS
DHI
BG
KIM
HFC
PVH
DVA
LEN
SLG
XRX
PBCT
SEE
M
ATH
ADS
MGM
UNM
PNR
EQH
LB
LSXMK
NWL
FOX
PRGO
CHRW
RL
HRL
TIF
RJF
URI
NWSA
GPS
CPT
DISCA
PKG
S
COTY
ST
HUBB
FLS
JLL
AGR
HBI
LSXMA
ARW
RS
HOG
ALSN
WLK
LBRDA
CPRI
QRTEA
MAC
AMG
JEF
JWN
NWS
H
LEVI
ADT
VIA
LEN.B
CBS.A
